"playerID","feature_batting_average","feature_rbi","feature_homeruns","feature_stolen_bases","feature_runs_scored","feature_ERA","feature_saves","feature_strikeouts","feature_wins","feature_WHIP","feature_putouts","feature_assists","feature_doubleplays","feature_allstar_appearences","feature_awards","feature_salary","classification"
"pascuca02","0.2048","81","5","0","71","4.05157891072725","10","2167","174","1.2871","210","507","26","10",\N,\N,"N"
"powervi01","0.2838","658","126","45","765",\N,\N,\N,\N,\N,"10833","1592","1158","6","7",\N,"N"
"boyercl02","0.2415","654","162","41","645",\N,\N,\N,\N,\N,"1902","3810","443",\N,"1",\N,"N"
"boyerke01","0.2875","1141","282","105","1104",\N,\N,\N,\N,\N,"2376","3737","417","12","14",\N,"N"
"bunniji01","0.1671","75","7","0","82","3.5655555725097656","16","2855","224","1.1789","206","372","20","7","2",\N,"Y"
"colavro01","0.2660","1159","374","19","971","0","0","2","1","1.0588","3407","124","31","9","1",\N,"N"
"howarel01","0.2743","762","167","9","619",\N,\N,\N,\N,\N,"7572","541","160","11","7",\N,"N"
"koufasa01","0.0966","28","2","0","26","3.141666680574417","9","2396","165","1.1061","64","228","13","4","22",\N,"Y"
"mcdanli01","0.1481","17","3","0","19","3.6618181575428355","172","1361","141","1.2724","127","447","28","3","2",\N,"N"
"ramospe01","0.1550","56","15","2","76","4.541176445343915","55","1305","117","1.3109","146","328","33","2",\N,\N,"N"
"richabo01","0.2659","390","34","73","643",\N,\N,\N,\N,\N,"3159","3540","977","5","13",\N,"N"
"robinbr01","0.2673","1357","268","28","1232",\N,\N,\N,\N,\N,"2712","6220","621","9","32",\N,"Y"
"virdobi01","0.2669","502","91","47","735",\N,\N,\N,\N,\N,"3777","100","18",\N,"2",\N,"N"
"aparilu01","0.2617","791","83","506","1335",\N,\N,\N,\N,\N,"4548","8016","1553","11","15",\N,"Y"
"drysddo01","0.1865","113","29","0","96","3.047142880303519","6","2486","209","1.1477","188","686","55","6","4",\N,"Y"
"mazerbi01","0.2600","853","138","27","769",\N,\N,\N,\N,\N,"4976","6694","1706","9","13",\N,"Y"
"robinfr02","0.2941","1812","586","204","1829",\N,\N,\N,\N,\N,"6346","333","263","8","15",\N,"Y"
"floodcu01","0.2927","636","85","88","851",\N,\N,\N,\N,\N,"4023","114","28","0","8",\N,"N"
"marisro01","0.2598","851","275","21","826",\N,\N,\N,\N,\N,"2649","76","15","11","8",\N,"N"
"mcmahdo02","0.1369","9","0","0","8","3.080869576205378","153","1003","90","1.2459","83","187","12","0",\N,\N,"N"
"millebo04","0.1104","8","0","0","8","3.4773912896280703","51","895","69","1.3505","106","335","27",\N,\N,\N,"N"
"osteecl01","0.1884","76","8","2","90","3.4949999928474424","1","1612","196","1.2747","159","699","37","0",\N,\N,"N"
"pappami01","0.1230","67","20","1","72","3.468947360390111","4","1728","209","1.2254","245","486","38","3",\N,\N,"N"
"pizarju01","0.2021","66","8","1","72","4.029545453461734","28","1522","131","1.3248","74","299","15","0",\N,\N,"N"
"aloufe01","0.2863","852","206","107","985",\N,\N,\N,\N,\N,"6537","322","330","1","1",\N,"N"
"callijo01","0.2641","840","226","74","926",\N,\N,\N,\N,\N,"3349","175","34","3","1",\N,"N"
"cashno01","0.2714","1103","377","43","1046",\N,\N,\N,\N,\N,"15173","1317","1347","3","2",\N,"N"
"cepedor01","0.2966","1365","379","142","1131",\N,\N,\N,\N,\N,"14829","1030","1195","12","7",\N,"Y"
"fairlro01","0.2663","1044","215","35","931",\N,\N,\N,\N,\N,"10769","773","867","0",\N,\N,"N"
"grantmu01","0.1779","65","6","2","80","3.605555514494578","53","1267","145","1.2864","162","376","40","0","2",\N,"N"
"howarfr01","0.2734","1119","382","8","864",\N,\N,\N,\N,\N,"4412","277","213","0","4",\N,"N"
"pinsova01","0.2858","1170","256","305","1366",\N,\N,\N,\N,\N,"5145","173","33","6","1",\N,"N"
"tayloto02","0.2613","598","75","234","1005",\N,\N,\N,\N,\N,"4241","4696","1072","3",\N,\N,"N"
"cuellmi01","0.1150","33","7","0","37","5.145999972025553","11","1632","185","1.1966","108","453","33","0","3",\N,"N"
"fisheed02","0.1220","8","0","0","11","3.577222214804755","81","812","85","1.1932","107","262","17","0","1",\N,"N"
"gibsobo01","0.2063","144","24","13","132","3.145882347050835","6","3117","251","1.1881","291","484","46","3","19",\N,"Y"
"kaatji01","0.1855","106","16","5","117","4.100714274815151","18","2461","283","1.2588","262","744","65","2","19",\N,"N"
"lockebo01","0.2551","12","1","0","12","3.9949999809265138","10","194","16","1.4328","39","83","6",\N,\N,\N,"N"
"mccarti01","0.2715","645","97","61","590",\N,\N,\N,\N,\N,"8893","625","128","0","1",\N,"N"
"mccovwi01","0.2697","1555","521","26","1229",\N,\N,\N,\N,\N,"17567","1236","1407","0","10",\N,"Y"
"paganjo01","0.2499","372","52","46","387",\N,\N,\N,\N,\N,"1470","2292","359",\N,\N,\N,"N"
"perryji01","0.1991","59","5","0","73","3.672631577441567","10","1576","215","1.2555","191","506","33","1","2",\N,"N"
"shortch02","0.1263","24","0","1","29","4.179333353042603","18","1629","135","1.2994","112","359","22","0",\N,\N,"N"
